,time,mag_x,mag_y,mag_z,lat,long,elevation,day/night
482,2023-04-23 04:01:25.737740,45.10173,-0.43783,-17.6799,-18.34603369724129,165.02292247756642,417.248561524372,Day
483,2023-04-23 04:01:33.257100,45.16934,-0.35111,-17.77963,-18.715566719488702,165.32648747100106,417.3513081737697,Day
484,2023-04-23 04:01:40.763050,45.02797,-0.16418,-18.00272,-19.08381844079985,165.630952703469,417.4550524147924,Day
485,2023-04-23 04:01:48.239006,45.00921,-0.13536,-18.30829,-19.449967336952568,165.93566909515582,417.5595326221323,Day
486,2023-04-23 04:01:55.715526,45.0672,-0.04618,-18.68118,-19.81550383125701,166.24191277597532,417.6651477132808,Day
487,2023-04-23 04:02:03.196826,45.73898,0.00268,-18.91295,-20.180607080391834,166.54988409273236,417.7719321309008,Day
488,2023-04-23 04:02:10.713964,45.71144,0.19663,-19.28649,-20.546777376042364,166.86091472542063,417.88031615257097,Day
489,2023-04-23 04:02:18.223645,44.99445,0.37775,-19.58953,-20.911883519667775,167.17325649342953,417.9896569720502,Day
490,2023-04-23 04:02:25.732253,45.10866,0.37498,-19.88988,-21.276217140408143,167.48720553879718,418.10002026535915,Day
491,2023-04-23 04:02:33.260717,45.03135,0.48219,-20.11411,-21.640783781602984,167.80368824772955,418.2116956549889,Day
492,2023-04-23 04:02:40.771076,45.15195,0.53921,-20.35648,-22.003720647479902,168.12114026584013,418.3240931800084,Day
493,2023-04-23 04:02:48.290720,45.20006,0.78318,-20.56226,-22.366338465121498,168.44075647974603,418.43759665165385,Day
494,2023-04-23 04:02:55.802616,45.14782,0.79256,-20.82547,-22.72779717065243,168.76185045843727,418.55192346374906,Day
495,2023-04-23 04:03:03.304301,45.17855,0.87932,-21.06954,-23.08796525226387,169.08435022299344,418.66700768627817,Day
496,2023-04-23 04:03:10.786986,45.1781,1.08621,-21.51329,-23.446400443224427,169.40789899385095,418.7826811107013,Day
497,2023-04-23 04:03:18.285628,45.19174,1.31591,-21.67762,-23.80476707106817,169.73405248650224,418.89945995626795,Day
498,2023-04-23 04:03:25.802946,45.20424,1.45744,-22.21833,-24.163162202794304,170.06297359086673,419.0173633069433,Day
499,2023-04-23 04:03:33.312643,45.23618,1.53941,-22.31087,-24.520318726388957,170.39356228138922,419.1359563001487,Day
500,2023-04-23 04:03:40.811284,45.21878,1.61224,-22.36307,-24.876058040886498,170.72570030416455,419.2551550849693,Day
501,2023-04-23 04:03:48.327479,45.1209,1.81147,-22.57747,-25.231717779115957,171.06069880254626,419.37538872466246,Day
502,2023-04-23 04:03:55.834338,45.16771,1.897,-22.94271,-25.5859984411339,171.39739783058454,419.4961990687978,Day
503,2023-04-23 04:04:03.316896,45.19931,1.97927,-23.1156,-25.938179824459503,171.73515236180978,419.6173129910194,Day
504,2023-04-23 04:04:10.841584,45.17385,2.14579,-23.46803,-26.291364295973903,172.07700951492703,419.7397803573625,Day
505,2023-04-23 04:04:18.354434,45.13343,2.22824,-23.59962,-26.643005027386312,172.42058513934086,419.86270350601654,Day
506,2023-04-23 04:04:25.884565,45.23265,2.36204,-23.6819,-26.9944274391567,172.76724088784962,419.9865260870879,Day
507,2023-04-23 04:04:33.401289,45.26859,2.49303,-23.71472,-27.3441799896425,173.11561120126575,420.1107166544082,Day
508,2023-04-23 04:04:40.927033,45.26229,2.7127,-24.03321,-27.693294952204432,173.4667862685079,420.2356202017062,Day
509,2023-04-23 04:04:48.450437,45.30043,2.86833,-24.15327,-28.04120825137597,173.82026910405378,420.3610154919201,Day
510,2023-04-23 04:04:55.967227,45.30854,3.03394,-24.39713,-28.38771522188386,174.17591216231628,420.48680650777067,Day
511,2023-04-23 04:05:03.484475,45.38908,3.19803,-24.79172,-28.733108014439274,174.5340785114177,420.6130776743812,Day
512,2023-04-23 04:05:10.974313,45.25419,3.38675,-25.00861,-29.076103093122505,174.8934855704235,420.7393346781286,Day
513,2023-04-23 04:05:18.504288,45.06156,3.50626,-24.99073,-29.41975138222068,175.25740941659416,420.8666824135377,Day
514,2023-04-23 04:05:26.026354,45.07217,3.62064,-24.65977,-29.76183989673801,175.62360187091753,420.9942859710709,Day
515,2023-04-23 04:05:33.549689,45.10008,3.60466,-24.75972,-30.10275338222422,175.99254140829817,421.1222675356429,Day
516,2023-04-23 04:05:41.074383,45.16098,3.73814,-24.86089,-30.442485467159802,176.36429623852854,421.25060505740595,Day
517,2023-04-23 04:05:48.589799,45.18124,3.72939,-25.24176,-30.78051059170335,176.7383585778529,421.3790787946449,Day
518,2023-04-23 04:05:56.112299,45.09308,4.01395,-25.62657,-31.11757045883836,177.11562248904022,421.50795052174436,Day
519,2023-04-23 04:06:03.634254,45.2289,4.1209,-25.9156,-31.453272966962643,177.49573110698552,421.63705171877257,Day
520,2023-04-23 04:06:11.163065,45.25109,4.24534,-26.23514,-31.787920750677923,177.87910988829492,421.7664801660673,Day
521,2023-04-23 04:06:18.669089,45.25451,4.46553,-26.26369,-32.12017847405263,178.2642929818645,421.8956978154693,Day
522,2023-04-23 04:06:26.173739,45.1633,4.57321,-26.5286,-32.450977943902075,178.65241791295892,422.02504460464866,Day
523,2023-04-23 04:06:33.694987,45.18634,4.8493,-26.69323,-32.781074306070316,179.0444655576985,422.1547990870509,Day
524,2023-04-23 04:06:41.204074,45.15808,5.0319,-27.12319,-33.10917400533361,179.43898546132104,422.2844347639294,Day
525,2023-04-23 04:06:48.709679,45.04934,5.1958,-27.2774,-33.435630805128824,179.8364704664615,422.41407092929575,Day
526,2023-04-23 04:06:56.224226,44.98745,5.19189,-27.28473,-33.760967658953994,-179.76235301603043,422.5438978169984,Day
527,2023-04-23 04:07:03.734641,44.87665,5.47123,-27.47371,-34.08457234785862,-179.3581496027137,422.6736538335259,Day
528,2023-04-23 04:07:11.253468,44.80316,5.53976,-27.67423,-34.40696042643726,-178.95018423426387,422.8035285353323,Day
529,2023-04-23 04:07:18.764410,44.76323,5.86201,-27.61254,-34.727402412803684,-178.53929148732504,422.9332107254349,Day
530,2023-04-23 04:07:26.273328,44.5689,6.00948,-27.56813,-35.04611912595111,-178.12510978210628,423.06277150135605,Day
531,2023-04-23 04:07:33.796197,44.74187,6.04098,-27.77545,-35.36375447321411,-177.70669846095475,423.1924571538181,Day
532,2023-04-23 04:07:41.306937,44.64092,6.02723,-27.79861,-35.67917321268646,-177.28545901363708,423.32178787388557,Day
533,2023-04-23 04:07:48.810031,44.63509,6.20894,-28.15647,-35.9925329580671,-176.86111098087744,423.4508099351769,Day
534,2023-04-23 04:07:56.330977,44.58156,6.38279,-28.45831,-36.30487338742421,-176.43213984680816,423.57993664006943,Day
535,2023-04-23 04:08:03.839968,44.52327,6.49487,-28.46239,-36.61491332227007,-176.00020219238706,423.7086234455853,Day
536,2023-04-23 04:08:11.360406,44.61738,6.5191,-28.51047,-36.923588447545434,-175.56389772008026,423.83724347285647,Day
537,2023-04-23 04:08:18.889559,44.57465,6.75114,-28.74432,-37.230740464467736,-175.12332581617173,423.9657179060085,Day
538,2023-04-23 04:08:26.406082,44.73964,7.06166,-28.72066,-37.535470801847815,-174.6796801253415,424.0936560347334,Day
